CODIGO;LOTE;INGRESO/EGRESO;CANTIDAD;TRANSPORTISTA;INDUSTRIAL/COMERCIAL
7861028800002;0000.0000;EGRESO;1425.00;;COMERCIAL
7861028800019;0000.0000;EGRESO;7700.00;;COMERCIAL
7861028800026;0000.0000;EGRESO;7983.00;;COMERCIAL
7861028800033;0000.0000;EGRESO;7722.00;;COMERCIAL
7861028800057;0000.0000;EGRESO;7830.00;;COMERCIAL
7861028800064;0000.0000;EGRESO;7937.00;;COMERCIAL
7861028800071;0000.0000;EGRESO;7953.00;;COMERCIAL
7861028800088;0000.0000;EGRESO;4905.00;;COMERCIAL
7861028800095;0000.0000;EGRESO;7250.00;;COMERCIAL
7861028800101;0000.0000;EGRESO;7959.00;;COMERCIAL
7861028800118;0000.0000;EGRESO;7457.00;;COMERCIAL
7861028800125;0000.0000;EGRESO;7747.00;;COMERCIAL
7861028800132;0000.0000;EGRESO;38380.00;;COMERCIAL
7861028800149;0000.0000;EGRESO;3135.00;;COMERCIAL
7861028800156;0000.0000;EGRESO;57604.00;;COMERCIAL
7861028800309;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800316;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800323;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800415;0000.0000;EGRESO;7970.00;;COMERCIAL
7861028800422;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800507;0000.0000;EGRESO;7906.00;;COMERCIAL
7861028800514;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800521;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800538;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800545;0000.0000;EGRESO;5944.00;;COMERCIAL
7861028800552;0000.0000;EGRESO;16000.00;;COMERCIAL
7861028800606;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028800705;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800712;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800729;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800804;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028800903;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028800910;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028801009;0000.0000;EGRESO;7966.00;;COMERCIAL
7861028801146;0000.0000;EGRESO;36.00;;COMERCIAL
7861028801207;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028801306;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028801405;0000.0000;EGRESO;7929.00;;COMERCIAL
7861028801504;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028801603;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028801702;0000.0000;EGRESO;7366.00;;COMERCIAL
7861028801719;0000.0000;EGRESO;7995.00;;COMERCIAL
7861028801726;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028801801;0000.0000;EGRESO;7958.00;;COMERCIAL
7861028805311;0000.0000;EGRESO;57946.00;;COMERCIAL
7861028805328;0000.0000;EGRESO;7992.00;;COMERCIAL
7861028805335;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028806103;0000.0000;EGRESO;15988.00;;COMERCIAL
7861028806202;0000.0000;EGRESO;56231.00;;COMERCIAL
7861028806509;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028806608;0000.0000;INGRESO;36.00;;COMERCIAL
7861028806806;0000.0000;EGRESO;7975.00;;COMERCIAL
7861028808008;0000.0000;INGRESO;20.00;;COMERCIAL
7861028808015;0000.0000;INGRESO;56.00;;COMERCIAL
7861028808701;0000.0000;INGRESO;1712.00;;COMERCIAL
7861028817024;0000.0000;INGRESO;1064.00;;COMERCIAL
7861028818229;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028818601;0000.0000;EGRESO;7997.00;;COMERCIAL
7861028818618;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028818625;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028818632;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028818724;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028818731;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028818823;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028818939;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028818946;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028819608;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028819615;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028819622;0000.0000;EGRESO;7999.00;;COMERCIAL
7861028819639;0000.0000;EGRESO;7993.00;;COMERCIAL
7861028819646;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028819653;0000.0000;EGRESO;8000.00;;COMERCIAL
7861028820208;0000.0000;EGRESO;16.00;;COMERCIAL
7861028820215;0000.0000;EGRESO;288.00;;COMERCIAL
7861028820222;0000.0000;EGRESO;56.00;;COMERCIAL
7861028822110;0000.0000;INGRESO;92.00;;COMERCIAL
7861028822127;0000.0000;INGRESO;48.00;;COMERCIAL
7861028823803;0000.0000;EGRESO;16000.00;;COMERCIAL
7861028824008;0000.0000;EGRESO;7987.00;;COMERCIAL
7861028824015;0000.0000;EGRESO;163.00;;COMERCIAL
7861028824022;0000.0000;EGRESO;7976.00;;COMERCIAL
