BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028801917.4277.0000,ALMOHADA ANTIFLUIDOS 100% IMPERMEABLE 35X22cm,4.3571,0,0
COMERCIAL,7861028802006.3399.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802006.3403.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802006.3407.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802006.3423.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802006.3677.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802006.4103.0000,COBERTOR VELVET DREAM ORIGINAL 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802013.3400.0000,COBERTOR VELVET DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802013.3674.0000,COBERTOR VELVET DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802013.4103.0000,COBERTOR VELVET DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802020.4103.0000,COBERTOR VELVET DREAM ORIGINAL 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802037.3032.0000,COBERTOR VELVET DREAM ORIGINAL 3-KING,133.9196,0,0
COMERCIAL,7861028802037.3406.0000,COBERTOR VELVET DREAM ORIGINAL 3-KING,133.9196,0,0
COMERCIAL,7861028802037.3442.0000,COBERTOR VELVET DREAM ORIGINAL 3-KING,133.9196,0,0
COMERCIAL,7861028802037.4103.0000,COBERTOR VELVET DREAM ORIGINAL 3-KING,133.9196,0,0
COMERCIAL,7861028802105.4109.0000,COBERTOR NATURE DREAM-3 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802105.4110.0000,COBERTOR NATURE DREAM-3 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802112.4109.0000,COBERTOR NATURE DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802112.4110.0000,COBERTOR NATURE DREAM-3 2-FULL,109.9196,0,0
COMERCIAL,7861028802129.3027.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802129.3029.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802129.3699.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802129.3701.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802129.4109.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802129.4110.0000,COBERTOR NATURE DREAM-3 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802136.3700.0000,COBERTOR NATURE DREAM-3 3-KING,132.75,0,0
COMERCIAL,7861028802136.3702.0000,COBERTOR NATURE DREAM-3 3-KING,132.75,0,0
COMERCIAL,7861028802136.4109.0000,COBERTOR NATURE DREAM-3 3-KING,132.75,0,0
COMERCIAL,7861028802136.4110.0000,COBERTOR NATURE DREAM-3 3-KING,132.75,0,0
COMERCIAL,7861028802204.3655.0000,COBERTOR SATEEN DREAM ORIGINAL 1.5-TWIN,74.8304,0,0
COMERCIAL,7861028802204.3659.0000,COBERTOR SATEEN DREAM ORIGINAL 1.5-TWIN,74.8304,0,0
COMERCIAL,7861028802211.3660.0000,COBERTOR SATEEN DREAM ORIGINAL 2-FULL,88.4286,0,0
COMERCIAL,7861028802228.3689.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.3939.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.3940.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.3941.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.3945.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.3948.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.4106.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
COMERCIAL,7861028802228.4107.0000,COBERTOR SATEEN DREAM ORIGINAL 2.5-QUEEN,98.2143,0,0
