CODIGO;LOTE;INGRESO/EGRESO;CANTIDAD;TRANSPORTISTA;INDUSTRIAL/COMERCIAL
7861028859208;0000.0000;INGRESO;1;;COMERCIAL
7861028859307;0000.0000;INGRESO;1;;COMERCIAL
7861028859406;0000.0000;INGRESO;1;;COMERCIAL
7861028801009;0000.0000;INGRESO;15;;COMERCIAL
7861028800507;0000.0000;INGRESO;10;;COMERCIAL
7861028800545;0000.0000;INGRESO;10;;COMERCIAL
7861028800019;0000.0000;INGRESO;32;;COMERCIAL
7861028800002;0000.0000;INGRESO;24;;COMERCIAL
7861028800026;0000.0000;INGRESO;11;;COMERCIAL
7861028800033;0000.0000;INGRESO;42;;COMERCIAL
7861028800057;0000.0000;INGRESO;26;;COMERCIAL
7861028800064;0000.0000;INGRESO;8;;COMERCIAL
7861028800071;0000.0000;INGRESO;13;;COMERCIAL
7861028800088;0000.0000;INGRESO;46;;COMERCIAL
7861028800095;0000.0000;INGRESO;44;;COMERCIAL
7861028800101;0000.0000;INGRESO;8;;COMERCIAL
7861028800118;0000.0000;INGRESO;40;;COMERCIAL
7861028800125;0000.0000;INGRESO;52;;COMERCIAL
7861028800132;0000.0000;INGRESO;40;;COMERCIAL
7861028800149;0000.0000;INGRESO;14;;COMERCIAL
7861028801405;0000.0000;INGRESO;9;;COMERCIAL
7861028801726;0000.0000;INGRESO;1;;COMERCIAL
7861028801702;0000.0000;INGRESO;4;;COMERCIAL
7861028887409;5092.5091;INGRESO;1;;COMERCIAL
7861028887423;5092.5091;INGRESO;3;;COMERCIAL
7861028887416;5092.5091;INGRESO;7;;COMERCIAL
7861028887430;5092.5091;INGRESO;2;;COMERCIAL
7861028887102;4825.4768;INGRESO;1;;COMERCIAL
7861028887126;4822.4019;INGRESO;1;;COMERCIAL
7861028887126;4825.4768;INGRESO;2;;COMERCIAL
7861028887126;4830.4019;INGRESO;2;;COMERCIAL
7861028887126;4832.4019;INGRESO;2;;COMERCIAL
7861028887126;4842.4894;INGRESO;1;;COMERCIAL
7861028887126;4844.4904;INGRESO;2;;COMERCIAL
7861028887119;4825.4768;INGRESO;1;;COMERCIAL
7861028887119;4830.4019;INGRESO;1;;COMERCIAL
7861028887133;4825.4768;INGRESO;1;;COMERCIAL
7861028887133;4832.4019;INGRESO;1;;COMERCIAL
7861028887133;4842.4894;INGRESO;1;;COMERCIAL
7861028887133;4844.4904;INGRESO;1;;COMERCIAL
7861028803904;5088.5087;INGRESO;2;;COMERCIAL
7861028803911;5088.5087;INGRESO;2;;COMERCIAL
7861028802624;4759.4759;INGRESO;2;;COMERCIAL
7861028802617;4759.4759;INGRESO;1;;COMERCIAL
7861028802631;4759.4759;INGRESO;2;;COMERCIAL
7861028877707;2077.3014;INGRESO;1;;COMERCIAL
7861028877721;2077.3014;INGRESO;2;;COMERCIAL
7861028877714;2077.3014;INGRESO;1;;COMERCIAL
7861028887331;5089.5090;INGRESO;1;;COMERCIAL
7861028877608;4620.4629;INGRESO;2;;COMERCIAL
7861028877622;4620.4629;INGRESO;1;;COMERCIAL
7861028877615;4620.4629;INGRESO;2;;COMERCIAL
7861028802129;4110.0000;INGRESO;4;;COMERCIAL
7861028802112;4110.0000;INGRESO;1;;COMERCIAL
7861028887607;5194.5195;INGRESO;2;;COMERCIAL
7861028887607;5200.5201;INGRESO;2;;COMERCIAL
7861028887621;5194.5195;INGRESO;4;;COMERCIAL
7861028887621;5204.5205;INGRESO;2;;COMERCIAL
7861028887621;5210.5211;INGRESO;6;;COMERCIAL
7861028887614;5194.5195;INGRESO;5;;COMERCIAL
7861028887614;5200.5201;INGRESO;4;;COMERCIAL
7861028887614;5204.5205;INGRESO;2;;COMERCIAL
7861028887614;5210.5211;INGRESO;2;;COMERCIAL
7861028887638;5194.5195;INGRESO;4;;COMERCIAL
7861028887638;5200.5201;INGRESO;5;;COMERCIAL
7861028887638;5202.5203;INGRESO;1;;COMERCIAL
7861028887638;5204.5205;INGRESO;2;;COMERCIAL
7861028887638;5210.5211;INGRESO;6;;COMERCIAL
7861028877837;4736.4885;INGRESO;2;;COMERCIAL
7861028877837;4871.4731;INGRESO;3;;COMERCIAL
7861028877837;4898.4901;INGRESO;2;;COMERCIAL
7861028877837;4911.4904;INGRESO;1;;COMERCIAL
7861028877837;4923.4884;INGRESO;1;;COMERCIAL
7861028877813;4736.4885;INGRESO;2;;COMERCIAL
7861028877813;4871.4731;INGRESO;2;;COMERCIAL
7861028877813;4897.4916;INGRESO;2;;COMERCIAL
7861028877813;4898.4901;INGRESO;3;;COMERCIAL
7861028877813;4911.4904;INGRESO;2;;COMERCIAL
7861028877813;4919.4986;INGRESO;3;;COMERCIAL
7861028877806;4736.4885;INGRESO;1;;COMERCIAL
7861028877806;4871.4731;INGRESO;1;;COMERCIAL
7861028877806;4897.4916;INGRESO;1;;COMERCIAL
7861028877806;4898.4901;INGRESO;4;;COMERCIAL
7861028877806;4919.4986;INGRESO;2;;COMERCIAL
7861028877820;4670.4574;INGRESO;1;;COMERCIAL
7861028877820;4736.4885;INGRESO;1;;COMERCIAL
7861028877820;4737.4877;INGRESO;1;;COMERCIAL
7861028877820;4871.4731;INGRESO;3;;COMERCIAL
7861028877844;4670.4574;INGRESO;1;;COMERCIAL
7861028877844;4737.4877;INGRESO;1;;COMERCIAL
7861028877844;4871.4731;INGRESO;2;;COMERCIAL
7861028877844;4872.4880;INGRESO;1;;COMERCIAL
7861028877844;4897.4916;INGRESO;1;;COMERCIAL
7861028877844;4910.4914;INGRESO;1;;COMERCIAL
7861028877844;4911.4904;INGRESO;1;;COMERCIAL
7861028877844;4913.4963;INGRESO;1;;COMERCIAL
7861028877844;4923.4884;INGRESO;2;;COMERCIAL
7861028887201;4797.4884;INGRESO;1;;COMERCIAL
7861028887225;4797.4884;INGRESO;1;;COMERCIAL
7861028887218;4797.4884;INGRESO;2;;COMERCIAL
7861028887522;4671.4629;INGRESO;1;;COMERCIAL
7861028887522;4793.4875;INGRESO;2;;COMERCIAL
7861028887522;4871.4731;INGRESO;1;;COMERCIAL
7861028887522;4908.4808;INGRESO;2;;COMERCIAL
7861028887515;4671.4629;INGRESO;2;;COMERCIAL
7861028887515;4793.4875;INGRESO;3;;COMERCIAL
7861028887515;4871.4731;INGRESO;1;;COMERCIAL
7861028887515;4908.4808;INGRESO;4;;COMERCIAL
7861028887515;5275.5011;INGRESO;1;;COMERCIAL
7861028887515;5276.5129;INGRESO;4;;COMERCIAL
7861028887515;5277.5278;INGRESO;6;;COMERCIAL
7861028887508;4671.4629;INGRESO;2;;COMERCIAL
7861028887508;4793.4875;INGRESO;4;;COMERCIAL
7861028887508;4871.4731;INGRESO;1;;COMERCIAL
7861028887508;4908.4808;INGRESO;4;;COMERCIAL
7861028887508;5275.5011;INGRESO;2;;COMERCIAL
7861028887508;5276.5129;INGRESO;2;;COMERCIAL
7861028887508;5277.5278;INGRESO;6;;COMERCIAL
7861028887539;4671.4629;INGRESO;1;;COMERCIAL
7861028887539;4793.4875;INGRESO;2;;COMERCIAL
7861028887539;4908.4808;INGRESO;1;;COMERCIAL
7861028887539;5277.5278;INGRESO;4;;COMERCIAL
7861028850625;4399.4400;INGRESO;2;;COMERCIAL
7861028850625;4868.4769;INGRESO;2;;COMERCIAL
7861028850618;4599.4600;INGRESO;1;;COMERCIAL
7861028850618;5029.4895;INGRESO;7;;COMERCIAL
7861028850632;4399.4400;INGRESO;1;;COMERCIAL
7861028850632;4715.4716;INGRESO;1;;COMERCIAL
7861028850632;4868.4769;INGRESO;1;;COMERCIAL
7861028850335;4100.0000;INGRESO;1;;COMERCIAL
7861028887003;4843.4883;INGRESO;1;;COMERCIAL
7861028887010;4811.4613;INGRESO;2;;COMERCIAL
7861028887010;4821.3705;INGRESO;3;;COMERCIAL
7861028846208;0000.0000;INGRESO;22;;COMERCIAL
7861028846222;0000.0000;INGRESO;22;;COMERCIAL
7861028846215;0000.0000;INGRESO;27;;COMERCIAL
7861028846239;0000.0000;INGRESO;25;;COMERCIAL
7861028805809;3966.0000;INGRESO;1;;COMERCIAL
7861028806806;0000.0000;INGRESO;3;;COMERCIAL
7861028806202;0000.0000;INGRESO;1;;COMERCIAL
7861028832003;0000.0000;INGRESO;2;;COMERCIAL
7861028818007;5092.5091;INGRESO;3;;COMERCIAL
7861028818021;5001.4892;INGRESO;1;;COMERCIAL
7861028818021;5008.3552;INGRESO;1;;COMERCIAL
7861028818014;4998.5037;INGRESO;3;;COMERCIAL
7861028818014;4999.4731;INGRESO;1;;COMERCIAL
7861028818014;5008.3552;INGRESO;2;;COMERCIAL
7861028818014;5092.5091;INGRESO;1;;COMERCIAL
7861028818038;5001.4892;INGRESO;1;;COMERCIAL
7861028818038;5092.5091;INGRESO;1;;COMERCIAL
7861028819219;4705.4354;INGRESO;1;;COMERCIAL
7861028877523;4299.4569;INGRESO;1;;COMERCIAL
7861028877530;4299.4569;INGRESO;2;;COMERCIAL
7861028875406;4794.4614;INGRESO;1;;COMERCIAL
7861028875406;4796.4732;INGRESO;1;;COMERCIAL
7861028875406;4798.4884;INGRESO;3;;COMERCIAL
7861028875406;4800.4874;INGRESO;1;;COMERCIAL
7861028875406;4899.4900;INGRESO;2;;COMERCIAL
7861028875437;4798.4884;INGRESO;1;;COMERCIAL
7861028818601;0000.0000;INGRESO;5;;COMERCIAL
7861028818809;3014.3014;INGRESO;2;;COMERCIAL
7861028875505;0000.0000;INGRESO;3;;COMERCIAL
7861028875529;0000.0000;INGRESO;5;;COMERCIAL
7861028875512;0000.0000;INGRESO;5;;COMERCIAL
7861028875543;0000.0000;INGRESO;3;;COMERCIAL
7861028893202;0000.0000;INGRESO;2;;COMERCIAL
7861028893226;0000.0000;INGRESO;3;;COMERCIAL
7861028893219;0000.0000;INGRESO;5;;COMERCIAL
7861028893233;0000.0000;INGRESO;3;;COMERCIAL
7861028818137;4095.4661;INGRESO;1;;COMERCIAL
7861028818137;4096.4806;INGRESO;4;;COMERCIAL
7861028818120;4095.4661;INGRESO;1;;COMERCIAL
7861028818120;5088.5087;INGRESO;1;;COMERCIAL
7861028818144;4095.4661;INGRESO;3;;COMERCIAL
7861028818144;4096.4806;INGRESO;3;;COMERCIAL
7861028818144;5088.5087;INGRESO;1;;COMERCIAL
7861028875604;0000.0000;INGRESO;3;;COMERCIAL
7861028818205;5089.5090;INGRESO;2;;COMERCIAL
7861028893301;5202.5203;INGRESO;2;;COMERCIAL
7861028893301;5204.5205;INGRESO;5;;COMERCIAL
7861028893301;5215.5216;INGRESO;3;;COMERCIAL
7861028893325;5202.5203;INGRESO;8;;COMERCIAL
7861028893325;5204.5205;INGRESO;4;;COMERCIAL
7861028893325;5215.5216;INGRESO;4;;COMERCIAL
7861028893318;5202.5203;INGRESO;3;;COMERCIAL
7861028893318;5204.5205;INGRESO;2;;COMERCIAL
7861028893318;5215.5216;INGRESO;4;;COMERCIAL
7861028893332;5202.5203;INGRESO;1;;COMERCIAL
7861028893332;5215.5216;INGRESO;5;;COMERCIAL
7861028823803;0000.0000;INGRESO;2;;COMERCIAL
7861028823803;2029.0000;INGRESO;1;;COMERCIAL
7861028823803;3807.0000;INGRESO;1;;COMERCIAL
7861028823803;3808.0000;INGRESO;1;;COMERCIAL
7861028823803;3809.0000;INGRESO;1;;COMERCIAL
7861028823803;3810.0000;INGRESO;1;;COMERCIAL
7861028823803;3811.0000;INGRESO;1;;COMERCIAL
7861028823803;3812.0000;INGRESO;1;;COMERCIAL
7861028823803;3813.0000;INGRESO;1;;COMERCIAL
7861028823803;3814.0000;INGRESO;1;;COMERCIAL
7861028823803;3816.0000;INGRESO;1;;COMERCIAL
7861028823803;3889.0000;INGRESO;1;;COMERCIAL
7861028823803;3890.0000;INGRESO;1;;COMERCIAL
7861028823803;3891.0000;INGRESO;1;;COMERCIAL
7861028823803;4017.0000;INGRESO;1;;COMERCIAL
7861028823803;4018.0000;INGRESO;1;;COMERCIAL
7861028823803;4019.0000;INGRESO;1;;COMERCIAL
7861028823803;4035.0000;INGRESO;1;;COMERCIAL
