CODIGO;LOTE;INGRESO/EGRESO;CANTIDAD;TRANSPORTISTA;INDUSTRIAL/COMERCIAL
7861028801009;0000.0000;INGRESO;13;;COMERCIAL
7861167202224;0000.0000;INGRESO;3;;COMERCIAL
7861028800545;0000.0000;INGRESO;8;;COMERCIAL
7861028800019;0000.0000;INGRESO;13;;COMERCIAL
7861028800002;0000.0000;INGRESO;17;;COMERCIAL
7861028800026;0000.0000;INGRESO;13;;COMERCIAL
7861028800033;0000.0000;INGRESO;11;;COMERCIAL
7861028800057;0000.0000;INGRESO;31;;COMERCIAL
7861028800064;0000.0000;INGRESO;15;;COMERCIAL
7861028800071;0000.0000;INGRESO;21;;COMERCIAL
7861028800088;0000.0000;INGRESO;65;;COMERCIAL
7861028800095;0000.0000;INGRESO;54;;COMERCIAL
7861028800101;0000.0000;INGRESO;54;;COMERCIAL
7861028800118;0000.0000;INGRESO;42;;COMERCIAL
7861028800125;0000.0000;INGRESO;46;;COMERCIAL
7861028800132;0000.0000;INGRESO;50;;COMERCIAL
7861028800149;0000.0000;INGRESO;34;;COMERCIAL
7861028801405;0000.0000;INGRESO;11;;COMERCIAL
7861028801504;0000.0000;INGRESO;2;;COMERCIAL
7861028800415;0000.0000;INGRESO;1;;COMERCIAL
7861028800422;0000.0000;INGRESO;3;;COMERCIAL
7861028801726;0000.0000;INGRESO;7;;COMERCIAL
7861028801719;0000.0000;INGRESO;2;;COMERCIAL
7861028887409;5092.5091;INGRESO;1;;COMERCIAL
7861028887416;5092.5091;INGRESO;1;;COMERCIAL
7861028887430;5092.5091;INGRESO;1;;COMERCIAL
7861028877707;2077.3014;INGRESO;1;;COMERCIAL
7861028877714;2077.3014;INGRESO;1;;COMERCIAL
7861028877608;4620.4629;INGRESO;1;;COMERCIAL
7861028877615;4622.4614;INGRESO;1;;COMERCIAL
7861028877615;4623.4616;INGRESO;1;;COMERCIAL
7861028877615;4620.4629;INGRESO;1;;COMERCIAL
7861028877622;4620.4629;INGRESO;1;;COMERCIAL
7861028802105;4109.0000;INGRESO;1;;COMERCIAL
7861028802112;4109.0000;INGRESO;1;;COMERCIAL
7861028802129;4110.0000;INGRESO;1;;COMERCIAL
7861028802136;4110.0000;INGRESO;1;;COMERCIAL
7861028887607;5200.5201;INGRESO;2;;COMERCIAL
7861028887607;5194.5195;INGRESO;2;;COMERCIAL
7861028887614;5200.5201;INGRESO;4;;COMERCIAL
7861028887621;5210.5211;INGRESO;4;;COMERCIAL
7861028887621;5202.5203;INGRESO;4;;COMERCIAL
7861028887638;5200.5201;INGRESO;4;;COMERCIAL
7861028887638;5194.5195;INGRESO;4;;COMERCIAL
7861028887638;5210.5211;INGRESO;4;;COMERCIAL
7861028802204;3659.0000;INGRESO;1;;COMERCIAL
7861028877837;4898.4901;INGRESO;1;;COMERCIAL
7861028877837;4736.4885;INGRESO;2;;COMERCIAL
7861028877837;4923.4884;INGRESO;3;;COMERCIAL
7861028877806;4898.4901;INGRESO;1;;COMERCIAL
7861028877806;4923.4884;INGRESO;2;;COMERCIAL
7861028877813;4898.4901;INGRESO;2;;COMERCIAL
7861028877813;4909.4915;INGRESO;1;;COMERCIAL
7861028877813;4919.4986;INGRESO;3;;COMERCIAL
7861028877813;4871.4731;INGRESO;4;;COMERCIAL
7861028877820;4737.4877;INGRESO;1;;COMERCIAL
7861028877844;4910.4914;INGRESO;1;;COMERCIAL
7861028877844;4737.4877;INGRESO;1;;COMERCIAL
7861028877844;4897.4916;INGRESO;1;;COMERCIAL
7861028877844;4736.4885;INGRESO;1;;COMERCIAL
7861028877844;4919.4986;INGRESO;3;;COMERCIAL
7861028877844;4871.4731;INGRESO;1;;COMERCIAL
7861028887522;4793.4875;INGRESO;2;;COMERCIAL
7861028887522;4908.4808;INGRESO;3;;COMERCIAL
7861028887522;4871.4731;INGRESO;3;;COMERCIAL
7861028887522;4671.4629;INGRESO;1;;COMERCIAL
7861028887508;4793.4875;INGRESO;4;;COMERCIAL
7861028887508;4908.4808;INGRESO;2;;COMERCIAL
7861028887508;4871.4731;INGRESO;2;;COMERCIAL
7861028887508;4736.4885;INGRESO;1;;COMERCIAL
7861028887508;4671.4629;INGRESO;2;;COMERCIAL
7861028887508;5277.5278;INGRESO;4;;COMERCIAL
7861028887508;5275.5011;INGRESO;2;;COMERCIAL
7861028887508;5276.5129;INGRESO;2;;COMERCIAL
7861028887515;4793.4875;INGRESO;3;;COMERCIAL
7861028887515;4871.4731;INGRESO;2;;COMERCIAL
7861028887515;4671.4629;INGRESO;2;;COMERCIAL
7861028887515;5277.5278;INGRESO;4;;COMERCIAL
7861028887515;5276.5129;INGRESO;4;;COMERCIAL
7861028887539;4793.4875;INGRESO;1;;COMERCIAL
7861028887539;4871.4731;INGRESO;1;;COMERCIAL
7861028887539;4671.4629;INGRESO;1;;COMERCIAL
7861028887539;5277.5278;INGRESO;2;;COMERCIAL
7861028850601;4189.4025;INGRESO;1;;COMERCIAL
7861028850601;4599.4600;INGRESO;2;;COMERCIAL
7861028850601;5029.4895;INGRESO;1;;COMERCIAL
7861028850601;5076.5077;INGRESO;1;;COMERCIAL
7861028850618;4599.4600;INGRESO;3;;COMERCIAL
7861028850618;5029.4895;INGRESO;6;;COMERCIAL
7861028850625;4533.4534;INGRESO;1;;COMERCIAL
7861028850625;4399.4400;INGRESO;2;;COMERCIAL
7861028850625;4653.4678;INGRESO;1;;COMERCIAL
7861028850632;4363.4201;INGRESO;1;;COMERCIAL
7861028850632;4564.4565;INGRESO;2;;COMERCIAL
7861028850632;4653.4678;INGRESO;1;;COMERCIAL
7861028850632;4706.4712;INGRESO;2;;COMERCIAL
7861028850632;4715.4716;INGRESO;1;;COMERCIAL
7861028850724;4523.4523;INGRESO;1;;COMERCIAL
7861028850724;4368.4368;INGRESO;1;;COMERCIAL
7861028846000;0000.0000;INGRESO;1;;COMERCIAL
7861028846208;0000.0000;INGRESO;20;;COMERCIAL
7861028846215;0000.0000;INGRESO;30;;COMERCIAL
7861028846222;0000.0000;INGRESO;19;;COMERCIAL
7861028846239;0000.0000;INGRESO;19;;COMERCIAL
7861028805809;3966.0000;INGRESO;2;;COMERCIAL
7861028805809;3977.0000;INGRESO;1;;COMERCIAL
7861028805809;3978.0000;INGRESO;1;;COMERCIAL
7861028806806;0000.0000;INGRESO;5;;COMERCIAL
7861028806202;0000.0000;INGRESO;3;;COMERCIAL
7861028832003;0000.0000;INGRESO;1;;COMERCIAL
7861167279004;0000.0000;INGRESO;6;;COMERCIAL
7861167279011;0000.0000;INGRESO;8;;COMERCIAL
7861167279103;0056.2945;INGRESO;7;;COMERCIAL
7861167279110;0007.9869;INGRESO;1;;COMERCIAL
7861167279110;0043.9934;INGRESO;3;;COMERCIAL
7861167279110;0018.2945;INGRESO;2;;COMERCIAL
7861167279110;0060.2945;INGRESO;9;;COMERCIAL
7861167279110;0057.9934;INGRESO;3;;COMERCIAL
7861167279110;0014.7548;INGRESO;1;;COMERCIAL
7861167279110;0038.7548;INGRESO;2;;COMERCIAL
7861167279110;0025.2945;INGRESO;5;;COMERCIAL
7861167279127;0016.7683;INGRESO;1;;COMERCIAL
